boxscore_link,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2022-11-25-23-gonzaga,72.4,21,7.7,3,95.7,84.2,32,0.557,61,0.475,29,0.361,22,0.727,16,0,200,121.7,32.4,11,13,84,24.0,4.3,3,0.426,26,0.385,10,59.7,43,0.588,10.2,8,35,0.543,19,0.0,0,"November 25, 2022",55.6,15,11.4,4,121.7,67.6,23,0.47,67,0.403,27,0.06,4,0.75,3,0,200,95.7,15.8,6,19,66,6.0,2.9,2,0.418,28,0.321,9,40.3,29,0.479,9.2,7,39,0.462,18,0.0,0,,,,69.2,Away,,
2022-11-30-00-florida-state,53.8,14,2.3,1,93.2,84.2,32,0.509,56,0.464,26,0.554,31,0.71,22,0,200,106.8,30.0,9,15,79,5.0,1.4,1,0.321,18,0.278,5,60.3,41,0.559,13.6,11,38,0.553,21,0.0,0,"November 30, 2022",40.0,10,13.2,5,106.8,70.0,21,0.432,66,0.379,25,0.212,14,0.857,12,0,200,93.2,15.8,6,24,69,,9.5,7,0.333,22,0.318,7,39.7,27,0.475,10.0,8,44,0.409,18,0.0,0,,,,73.7,Away,,
2022-11-08-purdue,43.5,10,13.2,5,109.1,53.5,23,0.408,60,0.383,23,0.15,9,0.444,4,0,200,68.8,9.4,3,20,53,,9.1,7,0.317,19,0.158,3,34.7,26,0.412,23.8,20,41,0.488,20,0.0,0,"November 8, 2022",66.7,18,26.8,11,68.8,90.6,29,0.458,72,0.375,27,0.306,22,0.818,18,0,200,109.1,46.5,20,13,84,,18.2,14,0.472,34,0.353,12,65.3,49,0.509,10.9,10,38,0.395,15,0.0,0,,,,76.9,Home,,
2022-11-11-purdue,40.0,6,3.4,1,106.8,60.9,14,0.321,53,0.283,15,0.208,11,0.909,10,0,200,74.6,18.2,6,17,44,,6.8,4,0.453,24,0.167,4,35.7,20,0.378,8.0,5,29,0.379,11,0.0,0,"November 11, 2022",54.2,13,6.9,2,74.6,81.8,27,0.521,48,0.5,24,0.354,17,0.765,13,0,200,106.8,39.1,9,17,63,,3.4,2,0.396,19,0.105,2,64.3,36,0.562,20.1,14,29,0.759,22,0.0,0,,,,59.2,Home,,
2022-11-24-purdue,62.5,15,7.3,3,97.1,70.6,24,0.596,47,0.511,24,0.596,28,0.857,24,0,200,114.3,39.1,9,20,80,24.0,8.6,6,0.362,17,0.471,8,57.9,33,0.663,22.3,17,30,0.533,16,0.0,0,"November 24, 2022",46.2,12,0.0,0,114.3,60.9,14,0.452,63,0.413,26,0.27,17,0.647,11,0,200,97.1,29.4,10,23,68,,12.9,9,0.349,22,0.227,5,42.1,24,0.478,13.5,11,41,0.512,21,0.0,0,,,,70.2,Away,,
2022-11-27-15-purdue,38.1,8,7.5,3,115.4,56.3,18,0.379,58,0.362,21,0.293,17,0.706,12,0,200,86.2,27.0,10,19,56,8.0,7.7,5,0.328,19,0.105,2,40.6,28,0.424,13.2,10,39,0.487,19,0.0,0,"November 27, 2022",65.4,17,7.7,3,86.2,73.0,27,0.509,58,0.448,26,0.328,19,0.842,16,0,200,115.4,43.8,14,16,75,24.0,10.8,7,0.31,18,0.389,7,59.4,41,0.559,14.2,11,40,0.475,19,0.0,0,,,,65.1,Home,,
2022-11-15-purdue,63.0,17,3.4,1,110.3,82.1,23,0.451,72,0.375,27,0.097,7,0.714,5,0,200,102.9,30.0,12,19,70,,5.9,4,0.486,35,0.314,11,51.5,35,0.465,9.6,8,37,0.432,16,0.0,0,"November 15, 2022",44.4,12,13.5,5,102.9,70.0,28,0.563,56,0.482,27,0.321,18,0.667,12,0,200,110.3,17.9,5,10,75,,4.4,3,0.482,27,0.333,9,48.5,33,0.581,8.6,6,29,0.621,18,0.0,0,,,,68.4,Home,,
2022-12-10-14-nebraska,43.5,10,17.5,7,89.9,71.1,32,0.457,58,0.397,23,0.345,20,0.6,12,0,225,94.2,35.1,13,17,65,4.0,4.3,3,0.5,29,0.241,7,54.9,45,0.481,15.2,12,29,0.552,16,0.0,0,"December 10, 2022",47.8,11,10.3,3,94.2,64.9,24,0.382,72,0.319,23,0.139,10,0.7,7,0,225,89.9,28.9,13,23,62,,8.7,6,0.444,32,0.281,9,45.1,37,0.404,9.5,8,40,0.35,14,0.0,0,,,,61.4,Away,,
2022-12-07-19-purdue,57.7,15,10.5,4,126.9,59.4,19,0.555,55,0.473,26,0.145,8,0.625,5,0,200,98.5,0.0,0,17,66,,7.5,5,0.4,22,0.409,9,31.7,19,0.561,13.3,9,33,0.515,17,0.0,0,"December 7, 2022",66.7,20,12.1,4,98.5,100.0,28,0.565,62,0.484,30,0.323,20,0.75,15,0,200,126.9,40.6,13,13,85,4.0,4.5,3,0.387,24,0.417,10,68.3,41,0.594,10.2,8,38,0.526,20,0.0,0,,,,67.2,Home,,
2022-12-04-18-purdue,50.0,14,10.4,5,129.0,61.5,16,0.551,59,0.475,28,0.136,8,0.625,5,0,200,101.4,9.7,3,18,70,,4.3,3,0.441,26,0.346,9,33.3,19,0.557,11.3,8,33,0.576,19,0.0,0,"December 4, 2022",66.7,22,6.1,2,101.4,90.3,28,0.562,65,0.508,33,0.277,18,0.889,16,0,200,129.0,38.5,10,13,89,5.0,7.2,5,0.262,17,0.412,7,66.7,38,0.605,8.8,7,48,0.542,26,0.0,0,,,,69.2,Home,,
