Team,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TO,POS,PTS_POS,3PT%,FG%,OR%,TS%,TO%,Half,Timestamp
Purdue,3,1,3,1,1,0,0,1,1,0,2,1.5,100.0,33.0,50.0,50.0,0.0,1,18:54
Minnesota,2,1,2,0,0,0,0,0,1,0,2,1.0,0.0,50.0,0.0,50.0,0.0,1,18:54
Purdue,5,2,4,1,1,0,0,1,1,0,3,1.67,100.0,50.0,50.0,62.5,0.0,1,19:15
Minnesota,2,1,2,0,0,0,0,0,1,0,2,1.0,0.0,50.0,0.0,50.0,0.0,1,19:15
Purdue,5,2,4,1,1,0,0,1,1,0,3,1.67,100.0,50.0,50.0,62.5,0.0,1,18:16
Minnesota,5,2,3,1,1,0,0,0,1,0,3,1.67,100.0,67.0,0.0,83.33,0.0,1,18:16
Purdue,5,2,4,1,1,0,0,1,1,0,3,1.67,100.0,50.0,50.0,62.5,0.0,1,17:52
Minnesota,5,2,3,1,1,0,0,0,1,0,3,1.67,100.0,67.0,0.0,83.33,0.0,1,17:52
Purdue,5,2,4,1,1,0,0,1,1,0,3,1.67,100.0,50.0,50.0,62.5,0.0,1,17:34
Minnesota,2,1,2,0,0,0,0,0,1,0,2,1.0,0.0,50.0,0.0,50.0,0.0,1,17:34
Purdue,5,2,6,1,1,0,0,2,1,0,4,1.25,100.0,33.0,50.0,41.67,0.0,1,17:28
Minnesota,7,3,4,1,1,0,0,0,2,0,4,1.75,100.0,75.0,0.0,87.5,0.0,1,17:28
Purdue,5,2,6,1,1,0,0,2,1,0,4,1.25,100.0,33.0,50.0,41.67,0.0,1,17:25
Minnesota,7,3,4,1,1,0,0,0,2,0,4,1.75,100.0,75.0,0.0,87.5,0.0,1,17:25
Purdue,5,2,6,1,1,0,0,2,1,0,4,1.25,100.0,33.0,50.0,41.67,0.0,1,16:59
Minnesota,7,3,4,1,1,0,0,0,2,0,4,1.75,100.0,75.0,0.0,87.5,0.0,1,16:59
Purdue,6,2,6,1,1,1,2,2,2,0,4,1.21,100.0,33.0,50.0,43.17,0.0,1,16:42
Minnesota,7,3,5,1,2,0,0,0,2,0,5,1.4,50.0,60.0,0.0,70.0,0.0,1,16:42
Purdue,6,2,7,1,1,1,2,2,2,0,5,1.01,100.0,28.999999999999996,50.0,37.74,0.0,1,16:26
Minnesota,7,3,5,1,2,0,0,0,2,0,5,1.4,50.0,60.0,0.0,70.0,0.0,1,16:26
Purdue,6,2,7,1,1,1,2,2,2,0,5,1.01,100.0,28.999999999999996,40.0,37.74,0.0,1,16:12
Minnesota,7,3,5,1,2,0,0,0,3,1,6,1.17,50.0,60.0,0.0,70.0,16.67,1,16:12
Purdue,6,2,7,1,1,1,2,2,2,0,5,1.01,100.0,28.999999999999996,40.0,37.74,0.0,1,15:58
Minnesota,7,3,5,1,2,0,0,0,3,1,6,1.17,50.0,60.0,0.0,70.0,16.67,1,15:58
Purdue,6,2,8,1,1,1,2,2,2,0,6,0.86,100.0,25.0,40.0,33.52,0.0,1,15:58
Minnesota,7,3,5,1,2,0,0,0,3,1,6,1.17,50.0,60.0,0.0,70.0,16.67,1,15:58
