TeamName,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,FG3Rate,RankFG3Rate,OppFG3Rate,RankOppFG3Rate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,DFP,NSTRate,RankNSTRate,OppNSTRate,RankOppNSTRate
Abilene Christian,48.45938375,235,38.61386139,17,66.66666667,291,6.395348837,289,58.13953488,350,31.03448276,84,73.30316742,274,7.282913165,73,36.13595707,225,33.59073359,72,60.55776892,28,55.51181102,274,0.110071148,75,0.092691493,165,NULL,11.0071148,295,11.58643663,29
Air Force,57.2972973,18,36.17021277,74,70.07575758,211,13.79310345,31,48.07302231,127,26.81992337,8,71.26436782,201,9.189189189,190,47.06723891,19,34.61538462,96,66.4652568,6,41.69381107,19,0.108085752,88,0.088233267,125,NULL,10.587992,276,7.940994003,317
Akron,46.51810585,278,32.35294118,223,70.35175879,202,5.733944954,317,45.87155963,65,38.11881188,340,70.76923077,184,10.86350975,277,43.10618067,53,31.66144201,40,52.15686275,149,52.3465704,207,0.096318529,164,0.096318529,198,NULL,8.410913839,86,8.68223364,256
Alabama,52.5462963,95,34.29319372,127,71.21212121,168,12.25165563,47,42.54966887,14,29.80392157,49,69.09090909,129,11.34259259,299,46.92874693,20,29.68568102,14,56.42458101,68,42.94294294,29,0.074687247,309,0.106553806,284,NULL,11.45204456,316,8.564137673,270
Alabama A&M,43.79562044,329,34.82587065,111,65.83850932,311,10.32258065,110,54.51612903,305,36.996337,310,64.9122807,21,9.732360097,232,32.84313725,295,46.82675815,350,50,198,54.81481481,259,0.105785578,101,0.087925675,120,NULL,11.26547715,307,10.99070942,57
Alabama St.,35.15482696,363,32.73542601,207,68.27956989,256,7.333333333,248,53.77777778,293,38.95131086,348,67.71653543,83,15.84699454,362,28.88601036,340,37.23849372,164,45.11278195,310,57.22543353,302,0.072489602,320,0.085561497,99,NULL,7.724301842,46,9.506833036,184
Albany,44.39252336,322,31.51125402,263,69.36170213,236,5.555555556,326,57.14285714,346,32.85714286,154,68.97689769,122,11.44859813,306,42.08389716,72,29.41176471,11,49.30555556,218,50.98039216,173,0.08064742,269,0.090728347,149,NULL,10.30494806,258,9.74489653,150
Alcorn St.,40.58252427,358,25.61576355,357,67.12328767,282,6.989247312,262,58.33333333,352,31.42857143,103,68.36734694,108,10.87378641,278,28.2729805,345,42.94478528,315,39.08045977,359,62.29508197,346,0.114169463,54,0.0777324,40,NULL,12.02423065,346,9.595093142,167
American,56.63716814,22,37.66816143,37,72.61146497,116,9.433962264,151,48.24797844,130,34,205,68.65671642,117,6.489675516,39,39.6797153,135,35.0262697,102,57.60869565,50,45.74898785,55,0.117642839,49,0.117642839,330,NULL,9.038413256,139,7.029876977,348
Appalachian St.,47.87234043,247,32.78008299,203,63.58695652,337,12.5,44,45.75,63,36.58536585,297,72.56097561,253,5.585106383,14,39.05996759,150,38.08049536,195,45.17374517,308,54.94505495,261,0.082981998,247,0.088335676,127,NULL,7.896674028,57,9.904303018,130
Arizona,62.47464503,1,37.19298246,48,73.31288344,99,9.792843691,131,45.38606403,53,33.53658537,181,67.43119266,75,6.693711968,46,36.63239075,213,38.18393481,198,65.2173913,8,48.71794872,130,0.080873433,266,0.114233724,320,NULL,7.581884351,41,8.28952689,286
Arizona St.,48.8172043,220,32.23684211,230,67.93103448,264,13.90041494,29,40.45643154,2,30.66666667,74,65.49019608,32,9.677419355,227,39.53185956,139,38.36317136,205,59.07692308,35,56.09756098,282,0.100333992,142,0.093790471,179,NULL,8.397518915,84,9.815281849,139
Arkansas,55.51537071,33,30,318,71.62629758,155,13.20754717,36,47.16981132,97,28.44827586,30,68.28193833,102,5.244122966,10,27.52293578,353,32.72214386,52,48.91891892,233,42.61168385,24,0.143831632,8,0.081434086,60,NULL,9.095235577,148,10.47009677,77
Arkansas Pine Bluff,41.15853659,357,28.28282828,339,72.11538462,140,8.070175439,204,57.19298246,347,36.04060914,282,74.2081448,297,12.19512195,327,37.64258555,187,40.87136929,280,49.7382199,210,64.52991453,352,0.099890992,143,0.125260133,356,NULL,10.30621346,259,9.989099197,120
