"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2023,"Abilene Christian",51.8783542039356,102,20.2762640983399,263,24.8520710059172,288,28.9803220035778,224
2023,"Air Force",55.8655221745351,17,19.4113186737437,210,23.3990147783251,319,37.7682403433476,44
2023,"Akron",47.3851030110935,279,18.0427667836733,121,30.7304785894207,134,31.5372424722662,167
2023,"Alabama",52.027027027027,96,22.1074251571544,330,36.328125,19,40.5405405405405,25
2023,"Alabama A&M",46.5686274509804,298,20.058044684103,253,26.3157894736842,252,26.3071895424837,290
2023,"Alabama St.",39.1839378238342,363,16.2804515745692,45,29.5585412667946,169,24.0932642487047,327
2023,"Albany",45.6021650879567,322,19.3777827560136,207,27.6859504132231,216,31.7997293640054,163
2023,"Alcorn St.",39.9721448467967,362,19.7974706605736,238,33.6798336798337,57,30.5013927576602,183
2023,"American",56.5836298932384,11,20.8026971772892,283,27.2435897435897,227,27.9359430604982,252
2023,"Appalachian St.",48.3792544570502,244,16.7302415846885,52,20.9183673469388,347,29.8217179902755,199
2023,"Arizona",60.025706940874,1,19.00525677315,185,32.9238329238329,71,41.9023136246787,18
2023,"Arizona St.",48.6345903771131,235,17.7765660145866,110,31.6326530612245,104,37.7113133940182,45
2023,"Arkansas",52.6212319790301,77,17.2386441753477,66,28.3372365339578,196,37.8768020969856,43
2023,"Arkansas Pine Bluff",41.6349809885932,358,22.8322267366961,344,25.2840909090909,275,19.7718631178707,358
2023,"Arkansas St.",48.2905982905983,250,19.7219069239501,234,31.989247311828,94,35.7264957264957,69
2023,"Army",52.3026315789474,88,19.6253635078713,227,23.4463276836158,317,32.5657894736842,143
2023,"Auburn",49.4047619047619,203,20.3140956639342,266,37.5,10,39.021164021164,37
2023,"Austin Peay",44.3548387096774,341,18.7048615320667,166,28.2828282828283,199,26.7741935483871,276
2023,"BYU",49.2261904761905,210,22.4265200945048,339,33.718689788054,55,32.6190476190476,140
2023,"Ball St.",53.0381944444444,65,18.9360397793066,178,31.4763231197772,107,48.7847222222222,4
2023,"Baylor",55.5007052186178,22,19.6113178569319,226,36.8421052631579,14,35.8251057827927,67
2023,"Bellarmine",50.0924214417745,167,20.5232706233398,277,19.6875,356,26.4325323475046,286
2023,"Belmont",55.6291390728477,20,17.905693021723,114,24.7030878859857,293,27.2847682119205,267
2023,"Bethune Cookman",44.0512048192771,344,19.4972761158368,221,27.0334928229665,231,25.6024096385542,301
2023,"Binghamton",48.6356340288925,234,21.7164611437557,318,31.2169312169312,117,29.2134831460674,217
2023,"Boise St.",49.041095890411,218,17.3481680958118,78,27.7027027027027,214,34.3835616438356,93
2023,"Boston College",45.364238410596,323,18.0900829599898,125,28.39248434238,192,29.8013245033113,201
2023,"Boston University",45.8683473389356,319,15.9406181552689,27,26.4192139737991,249,28.0112044817927,249
2023,"Bowling Green",46.969696969697,291,16.738540169302,54,30.6976744186047,136,28.1385281385281,244
2023,"Bradley",51.5905947441217,110,21.4678343167948,309,29.8405466970387,161,25.3112033195021,309
2023,"Brown",49.6503496503497,192,20.4449618786648,271,25.219298245614,277,29.5104895104895,211
2023,"Bryant",50.8695652173913,137,18.4133436958211,147,28.3018867924528,198,32.8985507246377,132
2023,"Bucknell",53.9906103286385,48,20.8678266845772,285,27.6536312849162,217,29.264475743349,216
2023,"Buffalo",48.9112227805695,225,20.4522588200366,272,27.9661016949153,206,36.0134003350084,62
2023,"Butler",52.858958068615,69,17.7439135767033,105,21.8181818181818,340,25.2858958068615,310
2023,"Cal Baptist",47.165991902834,284,18.8199758941667,172,31.211498973306,118,31.4439946018893,169
2023,"Cal Poly",46.588868940754,297,20.7005808836472,279,24.5070422535211,299,33.3931777378815,121
2023,"Cal St. Bakersfield",41.8647166361974,357,20.7532971602836,282,31.9327731092437,96,25.9597806215722,297
2023,"Cal St. Fullerton",47.1052631578947,285,17.2451589331385,67,28.808864265928,181,35.6140350877193,72
2023,"Cal St. Northridge",45.1438848920863,330,18.5020189190726,152,30.0546448087432,152,34.3525179856115,95
2023,"California",44.2715700141443,342,21.6566197812012,314,25.60706401766,267,35.3606789250354,76
2023,"Campbell",52.695652173913,76,19.2458624808053,197,21.7008797653959,343,33.9130434782609,111
2023,"Canisius",46.195652173913,311,19.0986938846121,190,32.9268292682927,70,23.4472049689441,332
2023,"Central Arkansas",46.474358974359,303,19.3340494092374,204,29.6523517382413,166,21.1538461538462,353
2023,"Central Connecticut",47.5869809203143,272,18.4404897635453,148,25.4646840148699,269,17.6206509539843,363
2023,"Central Michigan",46.3020030816641,308,20.9713734319717,290,29.6296296296296,167,26.6563944530046,281
2023,"Charleston",51.6069221260816,107,17.5480833533959,91,33.8114754098361,48,33.1273176761434,129
2023,"Charleston Southern",49.0662139219015,217,19.6956132497762,231,33.8842975206612,46,26.3157894736842,289
2023,"Charlotte",55.5873925501433,21,16.9207294042997,60,25.5874673629243,268,25.3581661891117,306
2023,"Chattanooga",53.8834951456311,53,20.8925619834711,287,31.4814814814815,106,33.8187702265372,113
2023,"Chicago St.",47.3623853211009,280,21.641966596095,313,32.8467153284672,75,33.1422018348624,128
2023,"Cincinnati",52.8985507246377,68,15.1281466679184,12,30.752688172043,132,27.2946859903382,266
2023,"Clemson",55.2667578659371,28,16.4562984523243,48,24.1975308641975,306,31.4637482900137,168
2023,"Cleveland St.",47.8323699421965,266,16.8248005265777,57,33.4123222748815,61,29.4797687861272,213
2023,"Coastal Carolina",46.3878326996198,305,19.1639717331417,193,32.475884244373,86,34.0304182509506,107
2023,"Colgate",57.9626972740316,3,17.3319090676576,76,27.5862068965517,220,26.8292682926829,273
2023,"Colorado",51.518691588785,115,18.6174797448716,159,32.4853228962818,85,32.9439252336449,131
2023,"Colorado St.",55.3672316384181,26,15.8138230758447,25,16.7487684729064,362,32.3446327683616,148
2023,"Columbia",44.8979591836735,333,22.9772405531961,347,28.5115303983229,186,31.2925170068027,171
2023,"Connecticut",56.064209274673,16,17.5620095379879,92,34.8195329087049,31,34.2449464922711,100
2023,"Coppin St.",52.3043944265809,86,19.4228921512919,212,19.7508896797153,354,34.8338692390139,86
2023,"Cornell",56.9718309859155,7,16.2012499011154,44,31.1053984575835,120,20.5633802816901,356
2023,"Creighton",54.6818727490996,36,16.7483608920759,55,24.1014799154334,308,27.7310924369748,257
2023,"Dartmouth",46.3343108504399,307,21.585597806054,311,23.3409610983982,321,28.0058651026393,250
2023,"Davidson",50.1483679525223,165,17.32972795315,75,25,284,37.3887240356083,49
2023,"Dayton",50.6072874493927,147,21.8802302322733,323,34.070796460177,44,36.8421052631579,53
2023,"DePaul",48.9880952380952,221,18.6813732796741,164,26.9005847953216,235,29.4047619047619,215
2023,"Delaware",50.408719346049,157,15.2636974598474,14,25.3333333333333,272,35.0136239782016,82
2023,"Delaware St.",44.7674418604651,335,24.9643850485042,358,28.4960422163588,188,21.2624584717608,352
2023,"Denver",54.3668122270742,40,21.3648564379253,305,29.6875,164,46.1426491994178,9
2023,"Detroit Mercy",49.171974522293,214,19.2240131532722,194,34.7648261758691,32,28.0254777070064,248
2023,"Drake",50.6802721088435,142,16.3054781415083,46,22.9357798165138,325,32.2448979591837,152
2023,"Drexel",48.4870317002882,240,17.3081890984242,71,30.0469483568075,153,22.3342939481268,345
2023,"Duke",49.5507060333761,195,17.983785586866,118,38.9496717724289,4,29.0115532734275,222
2023,"Duquesne",51.4236902050114,118,17.485080096325,87,36.7816091954023,16,24.8291571753986,316
2023,"East Carolina",48.6318407960199,236,18.7426382075411,167,34.9705304518664,29,40.547263681592,24
2023,"East Tennessee St.",50.5139500734214,154,20.3051894437479,264,30.2955665024631,149,29.8091042584435,200
2023,"Eastern Illinois",44.4279346210996,339,19.4140278188813,211,24.5575221238938,298,38.4843982169391,40
2023,"Eastern Kentucky",44.57928802589,338,19.0050504161754,184,30.3398058252427,146,28.4789644012945,237
2023,"Eastern Michigan",50.3012048192771,161,16.3545155761035,47,25.4498714652956,270,31.1746987951807,172
2023,"Eastern Washington",50.6775067750677,143,21.2789415656009,303,28.5067873303167,187,28.319783197832,241
2023,"Elon",46.1595273264402,313,17.4603655764043,85,22.3502304147465,334,30.2806499261448,189
