TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
Abilene Christian,69.0462,170,68.7805,178,100.242,207,101.574,184,105.079,240,102.644,176,-1.06993,182
Air Force,64.165,347,63.7165,348,107.365,75,100.396,212,96.1378,87,100.436,133,-0.0398046,168
Akron,66.2561,288,65.5959,305,100.13,209,102.942,160,98.2643,111,99.4617,118,3.48,125
Alabama,74.6494,12,75.3793,3,108.189,61,113.235,17,92.3884,43,90.0597,14,23.1756,9
Alabama A&M,72.7887,33,71.9517,42,92.8749,318,92.3001,344,108.36,295,105.844,256,-13.5435,329
Alabama St.,70.125,115,68.8095,175,87.4441,351,92.1765,345,114.389,347,109.535,322,-17.3582,345
Albany,68.675,188,69.6169,135,93.5454,314,95.9923,306,111.648,324,108.956,308,-12.964,324
Alcorn St.,67.3138,250,68.599,182,87.9478,350,96.9616,288,109.456,309,106.613,276,-9.65095,290
American,63.3659,354,63.7095,349,107.973,66,101.365,189,100.611,149,104.713,234,-3.34821,210
Appalachian St.,67.1242,259,66.7803,266,95.336,292,97.299,280,101.352,163,101.653,156,-4.35349,229
Arizona,76.0923,3,74.4917,10,118.493,3,120.283,1,97.2518,104,96.4238,67,23.8589,8
Arizona St.,69.8623,127,68.4584,191,103.666,134,105.565,103,90.8577,34,92.5427,34,13.0219,56
Arkansas,72.0296,48,72.2546,36,107.165,79,110.459,36,84.912,8,88.0452,7,22.4139,10
Arkansas Pine Bluff,70.0764,118,71.3226,57,81.2277,360,92.1309,346,111.762,325,111.368,345,-19.2369,355
Arkansas St.,64.0727,348,63.0374,355,99.1843,226,96.7337,294,101.438,165,106.48,268,-9.74628,291
Army,69.1178,164,70.4414,93,101.317,181,97.8351,269,105.129,243,107.978,293,-10.1429,295
Auburn,69.675,136,69.0665,158,104.312,123,108.982,52,88.5103,18,89.2264,11,19.7555,18
Austin Peay,65.6125,313,65.3026,317,94.637,299,99.4441,238,108.603,298,105.342,246,-5.89778,242
Ball St.,66.7318,271,68.2752,204,108.946,50,105.277,110,101.62,169,105.036,240,0.241734,162
Baylor,70.5375,100,69.8311,126,114.063,13,113.741,14,93.5732,56,93.2074,40,20.5334,15
Bellarmine,62.4568,361,62.9499,356,95.2572,294,99.789,228,112.292,331,108.432,299,-8.64321,275
Belmont,68.74,185,68.7595,179,108.065,65,107.598,68,104.549,229,104.517,224,3.08055,130
Bethune Cookman,70.6463,98,70.485,90,90.7803,333,93.7649,338,114.981,348,111.341,344,-17.576,346
Binghamton,68.6534,189,68.5989,183,96.8055,259,96.4022,297,111.458,320,111.462,347,-15.0599,336
Boise St.,67.8413,226,68.0373,213,101.68,178,102.941,161,88.1414,15,90.264,16,12.6769,59
