player_id,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,purdue_player,game_id,game_date
brandon-newman-2,0.0,0,4.4,1,75,11.2,2,0.625,12,0.5,6,0.167,2,0.5,1,22,126.0,4.2,1,1,16,2.3,1,0.667,8,0.375,3,7.2,3,0.621,7.2,1,4,0.75,3,27.2,1,2022-11-08-purdue,2022-11-08
mason-gillis-1,15.8,2,4.5,1,64,23.0,4,0.625,4,0.5,2,0.5,2,1.0,2,22,184.0,8.6,2,2,7,7.2,3,0.5,2,0.5,1,14.7,6,0.717,0.0,0,2,0.5,1,9.8,1,2022-11-08-purdue,2022-11-08
trey-kaufman-renn-1,0.0,0,5.7,1,77,21.9,3,0.375,8,0.375,3,0.5,4,0.5,2,17,100.0,21.8,4,2,8,0.0,0,0.125,1,0.0,0,21.8,7,0.41,9.3,1,7,0.429,3,27.5,1,2022-11-08-purdue,2022-11-08
chase-martin-1,100.0,1,0.0,0,75,86.2,1,,0,,0,,0,,0,1,244.0,0.0,0,0,0,0.0,0,,0,,0,36.8,1,,,0,0,,0,0.0,1,2022-11-08-purdue,2022-11-08
carson-barrett-1,0.0,0,0.0,0,85,0.0,0,1.0,1,1.0,1,0.0,0,,0,2,81.0,38.5,1,0,2,0.0,0,0.0,0,,0,22.1,1,1.0,50.0,1,1,1.0,1,36.1,1,2022-11-08-purdue,2022-11-08
caleb-furst-1,0.0,0,11.8,2,65,30.2,4,0.5,5,0.4,2,0.8,4,0.75,3,17,144.0,0.0,0,1,8,3.1,1,0.4,2,0.5,1,12.9,4,0.592,0.0,0,3,0.333,1,17.8,1,2022-11-08-purdue,2022-11-08
zach-edey-1,15.9,2,23.8,6,57,35.6,7,0.308,13,0.308,4,0.308,4,1.0,4,25,123.0,37.8,10,1,12,2.1,1,0.0,0,,0,36.9,17,0.407,6.3,1,13,0.308,4,28.0,1,2022-11-08-purdue,2022-11-08
brian-waddell-1,0.0,0,0.0,0,83,19.7,3,0.0,2,0.0,0,0.0,0,,0,19,0.0,0.0,0,0,0,0.0,0,1.0,2,0.0,0,8.4,3,0.0,0.0,0,0,,0,4.6,1,2022-11-08-purdue,2022-11-08
fletcher-loyer-1,28.8,3,0.0,0,79,10.3,2,0.567,15,0.4,6,0.0,0,,0,24,145.0,0.0,0,3,17,2.1,1,0.8,12,0.417,5,4.4,2,0.567,0.0,0,3,0.333,1,26.9,1,2022-11-08-purdue,2022-11-08
angelo-stuart-1,0.0,0,0.0,0,127,3.4,1,0.111,9,0.111,1,0.0,0,,0,27,21.0,0.0,0,2,2,0.0,0,0.778,7,0.0,0,2.0,1,0.111,10.0,1,2,0.5,1,17.5,0,2022-11-08-purdue,2022-11-08
sam-king-2,0.0,0,0.0,0,85,0.0,0,,0,,0,,0,,0,1,,0.0,0,0,0,0.0,0,,0,,0,0.0,0,,,0,0,,0,0.0,1,2022-11-08-purdue,2022-11-08
vincent-miszkiewicz-1,16.7,1,0.0,0,106,26.8,3,0.0,1,0.0,0,0.0,0,,0,10,70.0,12.0,1,3,0,0.0,0,0.0,0,,0,20.5,4,0.0,0.0,0,1,0.0,0,4.6,0,2022-11-08-purdue,2022-11-08
braden-smith-1,21.0,4,0.0,0,59,12.7,3,0.25,6,0.167,1,0.667,4,1.0,4,30,98.0,3.1,1,1,7,12.3,7,0.667,4,0.25,1,7.2,4,0.451,27.9,3,2,0.0,0,15.8,1,2022-11-08-purdue,2022-11-08
elijah-jamsion-1,28.5,3,0.0,0,110,15.8,4,0.6,5,0.6,3,0.2,1,0.0,0,24,81.0,5.3,1,1,6,2.2,1,0.0,0,,0,11.3,5,0.551,35.5,3,5,0.6,3,17.1,0,2022-11-08-purdue,2022-11-08
bj-freeman-1,0.0,0,3.9,1,112,13.7,4,0.531,16,0.438,7,0.188,3,0.667,2,27,79.0,0.0,0,2,19,1.9,1,0.5,8,0.375,3,7.9,4,0.548,22.4,5,8,0.5,4,39.2,0,2022-11-08-purdue,2022-11-08
zach-howell-1,0.0,0,0.0,0,130,0.0,0,0.0,1,0.0,0,0.0,0,,0,4,0.0,0.0,0,0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,50.0,1,0,,0,21.7,0,2022-11-08-purdue,2022-11-08
vin-bakerjr-1,0.0,0,10.4,1,114,0.0,0,1.0,1,1.0,1,0.0,0,,0,10,39.0,0.0,0,1,2,5.1,1,0.0,0,,0,0.0,0,1.0,75.0,3,1,1.0,1,18.8,0,2022-11-08-purdue,2022-11-08
ahmad-rand-1,0.0,0,9.4,1,120,8.3,1,1.0,5,1.0,5,0.2,1,0.0,0,11,177.0,11.1,1,2,10,0.0,0,0.0,0,,0,9.5,2,0.919,0.0,0,5,1.0,5,23.1,0,2022-11-08-purdue,2022-11-08
jalen-johnson-23,0.0,0,8.5,1,115,15.1,2,0.25,4,0.25,1,0.75,3,0.667,2,12,65.0,0.0,0,0,4,0.0,0,0.0,0,,0,8.6,2,0.376,15.8,1,4,0.25,1,24.4,0,2022-11-08-purdue,2022-11-08
