game_num,date,opp,wl,tm,opp,ortg,drtg,pace,ftr,3par,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,off_eFG_pct,off_tov_pct,off_orb_pct,off_ft_pct,def_efg_pct,def_tov_pct,def_drb_pct,def_ft_pct
1,11/9/2021,Bellarmine,W,96,67,143.3,100,67.3,0.518,0.643,0.688,67.8,75,10.4,12.5,0.643,14.7,52,0.429,0.508,13.7,79.4,0.119
2,11/12/2021,Indiana State,W,92,67,124.3,90.5,73.9,0.552,0.345,0.628,60.6,61.3,8.1,21.1,0.603,14.1,37.9,0.379,0.438,13.5,78.4,0.172
3,11/16/2021,Wright State,W,96,52,128,69.3,75.3,0.313,0.418,0.624,69.7,51.4,12,12.1,0.604,18.1,51.4,0.224,0.347,18.6,85.4,0.186
4,11/20/2021,UNC,W,93,84,116.3,105,80.1,0.361,0.377,0.651,46.7,61.8,7.5,5,0.639,11.2,4,0.246,0.536,15.8,77.1,0.145
5,11/21/2021,Villanova,W,80,74,127,117.5,63.4,0.255,0.418,0.649,61.5,58.6,6.3,4.2,0.618,15.1,40.9,0.218,0.56,5.7,76.7,0.155
6,11/26/2021,Omaha,W,97,40,142.6,58.8,68.2,0.407,0.288,0.689,71.8,55.9,5.9,17.1,0.653,14.6,48,0.339,0.31,12.3,84.8,0.016
7,11/30/2021,Florida State,W,93,65,132.9,92.9,69.8,0.237,0.424,0.708,60.7,65.7,7.1,12.8,0.695,16.5,41.7,0.186,0.476,16.5,75,0.079
8,12/3/2021,Iowa,W,77,70,101.3,92.1,75.5,0.74,0.38,0.57,59.7,66.7,6.6,4.9,0.5,18.2,26.7,0.54,0.444,11,86.5,0.242
9,12/9/2021,Rutgers,L,68,70,100,102.9,68.1,0.262,0.426,0.496,57.7,40,11.8,5.9,0.467,14.9,40.6,0.18,0.594,21,85,0.271
10,12/12/2021,NC State,W ,82,72,106.5,93.5,68.4,0.417,0.35,0.57,57.1,60,7.8,22,0.542,16.3,29,0.283,0.484,15.8,84.4,0.194
11,12/18/2021,Butler,W,77,48,128.3,80,59.7,0.275,0.431,0.668,62.5,63,6.7,16.1,0.637,14.8,43.5,0.235,0.356,9.6,73.2,0.102
12,12/20/2021,Incarnate Word,W,79,59,123.4,92.2,64.3,0.227,0.485,0.54,68.3,60,9.4,11.1,0.538,13.1,54.3,0.121,0.519,16.3,85.7,0.056
13,12/29/2021,Nicholls State,W,104,90,138.7,120,74.6,0.443,0.475,0.704,54.7,85.7,4,15.8,0.689,9.8,33.3,0.328,0.589,11.5,70.3,0.055
14,1/3/2022,Wisconsin,L,69,74,100,107.2,68.7,0.429,0.357,0.512,51.5,82.6,2.9,0,0.482,15.1,29.4,0.268,0.5,9.2,75,0.233
15,1/8/2022,Penn State,W,74,67,119.4,108.1,61.7,0.224,0.414,0.577,50.9,50,9.7,6.1,0.56,11.1,33.3,0.155,0.545,13,70.4,0.127
16,1/14/2022,Nebraska,W,92,65,124.3,87.8,73.5,0.415,0.446,0.591,58.6,59.4,9.5,13.2,0.562,11.4,38.9,0.292,0.526,21.2,79.4,0.088
17,1/17/2022,Illinois,W (2 OT),96,88,111.6,102.3,68.5,0.471,0.265,0.577,54.5,41.9,3.5,6.8,0.515,12.6,23.1,0.382,0.494,6.7,86.8,0.156
